Steps,Real,recursiveSAW,simplesamplingSAW,simplesampling sd error,How far off (simple)?,Error margin,RosenbluthSamplingSAW,How far off(Rosenbluth)?,Error margin,
1,4,4,4.00,0.00,0.00,0.00,3.999998,0.00,5E-07,
2,12,12,12.00,1.73,0.00,0.00,12.003218,0.00,0.000268167,
3,36,36,36.00,3.97,0.00,0.00,35.995886,0.00,0.000114278,
4,100,100,100.03,7.81,-0.03,0.00,99.966624,0.03,0.00033376,
5,284,284,284.13,14.33,-0.13,0.00,281.900692,2.10,0.00739193,
6,780,780,781.69,25.15,-1.69,0.00,782.615578,-2.62,0.003353305,
7,"2,172","2,172","2,172.35",43.41,-0.35,0.00,2187.682588,-15.68,0.007220344,
8,"5,916","5,916","5,924.72",73.41,-8.72,0.00,6093.521942,-177.52,0.03000709,
9,"16,268","16,268","16,152.53",123.11,115.47,0.01,16954.41307,-686.41,0.042194066,
10,"44,100","44,100","43,972.03",205.25,127.97,0.00,47341.97794,"-3,241.98",0.073514239,
11,"120,292","120,292","120,271.67",341.79,20.33,0.00,131822.2115,"-11,530.21",0.095851856,
12,"324,932","324,932","323,666.05",563.40,"1,265.95",0.00,367130.0842,"-42,198.08",0.129867431,
13,"881,500","881,500","876,508.87",930.09,"4,991.13",0.01,1027204.754,"-145,704.75",0.165291837,
14,"2,374,444","2,374,444","2,370,285.08","1,532.76","4,158.92",0.00,2866903.41,"-492,459.41",0.207399884,
15,"6,416,596","6,416,596","6,326,486.83","2,507.83","90,109.17",0.01,8027988.336,"-1,611,392.34",0.251128844,
16,"17,245,332","17,245,332","16,690,242.91","4,077.42","555,089.09",0.03,22263406.52,"-5,018,074.52",0.290981613,
17,"46,466,676","46,466,676","47,210,280.52","6,861.53","-743,604.52",0.02,62205792.21,"-15,739,116.21",0.338718358,
18,"124,658,732","124,658,732","125,138,167.14","11,176.33","-479,435.14",0.00,173554383.4,"-48,895,651.40",0.392236072,
19,"335,116,620","335,116,620","324,630,808.10","18,006.87","10,485,811.90",0.03,478849735,"-143,733,115.04",0.428904765,
20,"897,697,164","897,697,164","924,689,278.96","30,395.91","-26,992,114.96",0.03,1348434111,"-450,736,946.96",0.502103566,
21,"2,408,806,028","2,408,806,028","2,476,100,185.75","49,746.42","-67,294,157.75",0.03,3784385724,"-1,375,579,696.39",0.571062875,
22,"6,444,560,484",,"6,157,265,115.55","78,454.51","287,295,368.45",0.04,10541480559,"-4,096,920,074.89",0.63571753,
23,"17,266,613,812",,"16,818,129,858.46","129,669.23","448,483,953.54",0.03,29053915036,"-11,787,301,223.76",0.682664323,
24,"46,146,397,316",,"52,072,870,691.47","228,173.70","-5,926,473,375.47",0.13,80869994058,"-34,723,596,741.74",0.752466038,
25,"123,481,354,908",,"120,471,290,032.16","347,071.17","3,010,064,875.84",0.02,2.26436E+11,"-102,954,867,196.21",0.833768525,
26,"329,712,786,220",,"360,287,970,189.64","600,215.92","-30,575,183,969.64",0.09,6.31987E+11,"-302,274,208,205.70",0.916780364,
27,"881,317,491,628",,"774,619,135,907.73","880,105.58","106,698,355,720.28",0.12,1.78404E+12,"-902,723,567,181.70",1.024288722,
28,,,"2,738,188,573,441.26","1,654,715.84",,,4.96851E+12,,,
29,,,"4,611,686,018,427.38","2,147,466.47",,,1.3529E+13,,,
30,,,"17,293,822,569,102.70","4,158,553.01",,,3.83212E+13,,,
31,,,"55,340,232,221,128.60","7,439,056.94",,,1.08812E+14,,,
32,,,"166,020,696,663,385.00","12,884,843.91",,,2.89639E+14,,,
33,,,"368,934,881,474,191.00","19,207,629.65",,,8.17682E+14,,,
34,,,"590,295,810,358,705.00","24,295,979.70",,,2.30778E+15,,,
35,,,"2,361,183,241,434,820.00","48,591,959.41",,,6.55353E+15,,,
36,,,"4,722,366,482,869,640.00","68,719,442.38",,,1.76E+16,,,
37,,,"18,889,465,931,478,500.00","137,438,884.75",,,4.66E+16,,,
38,,,"75,557,863,725,914,300.00","274,877,769.51",,,1.23E+17,,,
39,,,,,,,4.37E+17,,,
40,,,,,,,9.70E+17,,,
41,,,,,,,2.91E+18,,,
42,,,,,,,9.20E+18,,,
43,,,,,,,2.20E+19,,,
44,,,,,,,4.77E+19,,,
45,,,,,,,2.00E+20,,,
46,,,,,,,4.33E+20,,,
47,,,,,,,1.33E+21,,,
48,,,,,,,3.37E+21,,,
49,,,,,,,1.12E+22,,,
50,,,,,,,3.14E+22,,,
51,,,,,,,6.28E+22,,,
52,,,,,,,1.88E+23,,,
53,,,,,,,4.69E+23,,,
54,,,,,,,1.06E+24,,,
55,,,,,,,5.28E+24,,,
56,,,,,,,3.81E+25,,,
57,,,,,,,3.04E+25,,,
58,,,,,,,1.32E+26,,,
59,,,,,,,9.80E+26,,,
60,,,,,,,3.76E+26,,,
61,,,,,,,2.01E+27,,,
62,,,,,,,2.86E+27,,,
63,,,,,,,3.67E+28,,,
64,,,,,,,1.49E+28,,,
65,,,,,,,5.57E+28,,,
66,,,,,,,1.85E+29,,,
67,,,,,,,7.89E+29,,,
68,,,,,,,1.49E+30,,,
69,,,,,,,2.19E+31,,,
70,,,,,,,1.74E+31,,,
71,,,,,,,7.75E+30,,,
72,,,,,,,4.68E+31,,,
73,,,,,,,5.04E+31,,,
74,,,,,,,6.61E+32,,,
75,,,,,,,8.54E+31,,,
76,,,,,,,5.14E+33,,,
77,,,,,,,3.14E+33,,,
78,,,,,,,2.99E+34,,,
79,,,,,,,3.47E+33,,,
80,,,,,,,9.85E+34,,,
81,,,,,,,1.89E+35,,,
82,,,,,,,5.02E+35,,,
83,,,,,,,1.38E+37,,,
84,,,,,,,2.74E+36,,,
85,,,,,,,2.12E+36,,,
86,,,,,,,1.00E+36,,,
87,,,,,,,3.68E+37,,,
